"Gene","Module"
"217613_at","blue"
"226264_at","turquoise"
"207266_x_at","turquoise"
"266_s_at","grey"
"237220_at","blue"
"1557403_s_at","grey"
"200606_at","grey"
"223913_s_at","turquoise"
"227382_at","turquoise"
"1553698_a_at","turquoise"
"232068_s_at","grey"
"236590_at","brown"
"232267_at","brown"
"214590_s_at","turquoise"
"233238_s_at","grey"
"1554249_a_at","brown"
"1558378_a_at","grey"
"234180_at","grey"
"232883_at","blue"
"204286_s_at","grey"
"215578_at","brown"
"241673_x_at","grey"
"222486_s_at","grey"
"202917_s_at","grey"
"1560973_a_at","grey"
"1553362_at","grey"
"205827_at","turquoise"
"1553134_s_at","turquoise"
"210511_s_at","grey"
"233867_at","blue"
"210145_at","turquoise"
"208078_s_at","blue"
"228636_at","turquoise"
"222725_s_at","grey"
"1561027_at","grey"
"206376_at","turquoise"
"1558078_at","blue"
"218541_s_at","turquoise"
"201324_at","blue"
"241851_x_at","blue"
"1553678_a_at","turquoise"
"228864_at","turquoise"
"208077_at","grey"
"236558_at","blue"
"1569040_s_at","turquoise"
"1561130_at","blue"
"211520_s_at","grey"
"1555253_at","grey"
"221573_at","turquoise"
"202072_at","grey"
"210232_at","turquoise"
"1566469_at","grey"
"1553420_at","turquoise"
"222506_at","turquoise"
"237433_at","grey"
"204378_at","blue"
"236513_at","turquoise"
"1561415_at","grey"
"201858_s_at","grey"
"219201_s_at","turquoise"
"1559882_at","blue"
"231921_at","turquoise"
"1555412_at","grey"
"228802_at","brown"
"203762_s_at","turquoise"
"1570255_s_at","turquoise"
"236065_at","turquoise"
"1560099_at","grey"
"1554512_a_at","brown"
"223898_at","turquoise"
"205200_at","grey"
"237315_at","grey"
"235144_at","grey"
"238178_at","brown"
"210026_s_at","blue"
"239487_at","grey"
"210729_at","turquoise"
"1561394_s_at","blue"
"220744_s_at","turquoise"
"1552327_at","turquoise"
"219614_s_at","grey"
"1559394_a_at","blue"
"220817_at","grey"
"241733_at","grey"
"1558397_at","blue"
"211355_x_at","grey"
"232003_at","turquoise"
"235655_at","turquoise"
"AFFX-HSAC07/X00351_M_at","turquoise"
"1561434_at","grey"
"210664_s_at","blue"
"1568871_at","grey"
"208610_s_at","blue"
"1569178_at","turquoise"
"237594_at","blue"
"1556989_at","blue"
"237656_at","grey"
"1570080_at","blue"
"241891_at","grey"
"235944_at","grey"
"208623_s_at","blue"
"1552986_at","brown"
"1568644_at","grey"
"1558480_at","grey"
"221035_s_at","grey"
"204597_x_at","grey"
"222253_s_at","brown"
"238234_at","grey"
"49452_at","blue"
"1562110_at","brown"
"203540_at","blue"
"211481_at","blue"
"205697_at","grey"
"203582_s_at","turquoise"
"230894_s_at","brown"
"1562290_at","brown"
"216101_at","blue"
"206002_at","grey"
"238657_at","turquoise"
"222507_s_at","turquoise"
"234801_s_at","blue"
"1570153_at","grey"
"220184_at","blue"
"1563055_at","grey"
"1568866_at","brown"
"236216_at","blue"
"1560395_at","grey"
"202257_s_at","turquoise"
"1561965_at","grey"
"1552940_at","grey"
"231186_at","turquoise"
"222826_at","turquoise"
"244454_at","grey"
"204894_s_at","blue"
"233689_at","blue"
"204914_s_at","grey"
"218172_s_at","turquoise"
"224110_at","brown"
"220214_at","turquoise"
"233953_at","grey"
"218405_at","turquoise"
"220272_at","grey"
"240382_at","grey"
"1560697_at","turquoise"
"232295_at","grey"
"223594_at","turquoise"
"1557104_at","brown"
"236338_at","blue"
"223947_s_at","turquoise"
"209950_s_at","grey"
"231034_s_at","grey"
"1557578_at","grey"
"1555862_s_at","blue"
"231640_at","turquoise"
"236234_at","turquoise"
"237782_at","blue"
"219087_at","blue"
"1561254_at","grey"
"242054_s_at","grey"
"232204_at","blue"
"236950_s_at","grey"
"233605_x_at","grey"
"1557411_s_at","brown"
"214250_at","brown"
"225063_at","turquoise"
"204913_s_at","grey"
"207622_s_at","turquoise"
"244703_x_at","grey"
"238768_at","blue"
"214475_x_at","turquoise"
"209960_at","brown"
"224490_s_at","grey"
"234779_at","grey"
"210460_s_at","turquoise"
"1558579_at","turquoise"
"1552489_s_at","grey"
"225410_at","turquoise"
"236782_at","grey"
"232392_at","turquoise"
"202431_s_at","turquoise"
"211343_s_at","grey"
"1555890_at","grey"
"215259_s_at","grey"
"1569969_a_at","turquoise"
"228762_at","blue"
"242996_at","grey"
"202274_at","grey"
"225579_at","turquoise"
"232711_at","blue"
"1561123_at","blue"
"1557275_a_at","brown"
"208928_at","turquoise"
"239265_at","turquoise"
"224583_at","turquoise"
"1564820_at","grey"
"244514_at","turquoise"
"219689_at","blue"
"232887_at","grey"
"204555_s_at","blue"
"1560185_at","turquoise"
"211470_s_at","grey"
"1569186_at","grey"
"209040_s_at","grey"
"217890_s_at","turquoise"
"225372_at","blue"
"202992_at","blue"
"1569756_at","grey"
"242066_at","blue"
"209395_at","blue"
"228919_at","blue"
"231503_at","brown"
"209243_s_at","turquoise"
"228018_at","blue"
"1556602_at","grey"
"1563690_at","grey"
"225681_at","turquoise"
"233584_at","grey"
"234023_s_at","brown"
"1569054_at","grey"
"1569831_at","grey"
"213663_s_at","grey"
"1569291_at","blue"
"204114_at","grey"
"1552582_at","grey"
"1564407_a_at","blue"
"238419_at","grey"
"1556592_at","grey"
"231120_x_at","turquoise"
"1556488_s_at","turquoise"
"217307_at","turquoise"
"1556099_at","grey"
"225295_at","turquoise"
"241505_at","blue"
"220253_s_at","turquoise"
"1559203_s_at","turquoise"
"1559612_at","grey"
"240171_at","grey"
"204463_s_at","brown"
"204346_s_at","turquoise"
"1562084_at","grey"
"209330_s_at","turquoise"
"239990_at","turquoise"
"227444_at","turquoise"
"1562301_at","grey"
"225846_at","grey"
"201523_x_at","turquoise"
"242308_at","grey"
"223645_s_at","grey"
"212641_at","turquoise"
"223864_at","grey"
"213653_at","turquoise"
"209396_s_at","grey"
"206902_s_at","grey"
"1562295_at","blue"
"231438_x_at","turquoise"
"232453_at","grey"
"228071_at","blue"
"1568954_s_at","turquoise"
"206322_at","brown"
"1552719_at","blue"
"1567861_at","grey"
"218148_at","grey"
"215344_at","brown"
"211756_at","grey"
"229041_s_at","grey"
"211745_x_at","grey"
"203760_s_at","grey"
"216598_s_at","grey"
"240768_x_at","grey"
"225934_at","turquoise"
"200648_s_at","grey"
"216550_x_at","brown"
"234431_at","blue"
"227177_at","turquoise"
"234994_at","turquoise"
"204560_at","brown"
"1556062_at","grey"
"236295_s_at","grey"
"207672_at","blue"
"207236_at","grey"
"235019_at","blue"
"229901_at","turquoise"
"214657_s_at","blue"
"240248_at","grey"
"242001_at","grey"
"233386_at","blue"
"206211_at","grey"
"215894_at","grey"
"243990_at","turquoise"
"200866_s_at","turquoise"
"233260_at","grey"
"210809_s_at","turquoise"
"237554_at","blue"
"226818_at","grey"
"224563_at","blue"
"1569192_at","blue"
"237841_at","grey"
"236949_at","blue"
"209996_x_at","grey"
"216672_s_at","grey"
"217523_at","grey"
"213715_s_at","brown"
"1552701_a_at","grey"
"1553167_a_at","grey"
"232054_at","turquoise"
"239733_at","grey"
"238663_x_at","turquoise"
"233547_x_at","turquoise"
"236316_at","turquoise"
"202275_at","grey"
