"Gene","Module"
"PML","black"
"DGKH","yellow"
"CD81","brown"
"C1orf54","brown"
"ADORA3","yellow"
"RRAS","brown"
"CLIC3","blue"
"SMAP2","yellow"
"TIMM10","black"
"ADGRE3","turquoise"
"HSP90B1","tan"
"SLC31A2","turquoise"
"HCAR2","grey"
"ZNF385A","salmon"
"TNFAIP3","turquoise"
"KLRC1","red"
"ASPRV1","green"
"CCNB2","magenta"
"BCAT1","yellow"
"ROGDI","blue"
"CAMK1","brown"
"PRKDC","turquoise"
"NAA38","blue"
"APOL3","salmon"
"STBD1","greenyellow"
"FGL2","pink"
"COL18A1","blue"
"SLC25A6","brown"
"BIRC5","magenta"
"SOS2","turquoise"
"GALNT3","turquoise"
"STMN1","magenta"
"IGFL4","turquoise"
"TMEM45B","turquoise"
"NIBAN1","turquoise"
"LPAR6","red"
"ZWINT","magenta"
"MPST","blue"
"OPLAH","green"
"ERV3-1","turquoise"
"RHAG","cyan"
"CD22","brown"
"ASGR1","blue"
"SLC8A1","yellow"
"RPS6KA3","turquoise"
"VWA8","yellow"
"LRG1","green"
"ZDHHC12","blue"
"SLC22A18","blue"
"ACSL4","turquoise"
"CPA3","brown"
"CCR2","pink"
"CD3G","red"
"GPR160","yellow"
"MCRIP2","blue"
"DOK2","brown"
"SLC22A15","turquoise"
"TYMP","blue"
"RGPD2","turquoise"
"MAPK14","turquoise"
"TXNIP","turquoise"
"ZFY","turquoise"
"PSMB10","blue"
"SMPDL3A","yellow"
"FCMR","brown"
"SH2D1B","red"
"RPS15","brown"
"CDCA7L","greenyellow"
"SLC1A3","yellow"
"ARHGEF40","green"
"CCDC85B","blue"
"NUDT14","blue"
"XRRA1","blue"
"CD74","brown"
"SIT1","brown"
"KRT23","turquoise"
"PCED1B","brown"
"KLRD1","red"
"PRKAR2B","purple"
"MCTP2","turquoise"
"GATA1","blue"
"TPM2","brown"
"ZBED6","turquoise"
"STOM","yellow"
"NR4A1","brown"
"NEK7","turquoise"
"ERV3-1-ZNF117","turquoise"
"TFF3","blue"
"PAG1","turquoise"
"FPR2","turquoise"
"SLC22A4","yellow"
"FCRL1","turquoise"
"GPR15","red"
"BEX2","brown"
"TIMP4","yellow"
"MRPL4","blue"
"ITGA4","pink"
"NRGN","blue"
"ATF3","black"
"PAQR6","green"
"ROPN1L","green"
"CD69","red"
"DDX60L","turquoise"
"TAGLN","blue"
"CD19","brown"
"KIF27","yellow"
"RGCC","greenyellow"
"LMNB1","turquoise"
"CYBRD1","turquoise"
"CDC42EP2","blue"
"SPARC","purple"
"DHRS3","brown"
"CCDC124","blue"
"UPK3A","brown"
"TGM3","brown"
"HLA-G","blue"
"BCL2A1","yellow"
"PCSK9","yellow"
"C19orf48","blue"
"FGD4","yellow"
"RLN3","yellow"
"CCNJL","green"
"GPAA1","blue"
"TBC1D8","yellow"
"LOC112268355","grey"
"ATP13A3","turquoise"
"CCDC167","brown"
"MAP1LC3A","blue"
"DICER1","turquoise"
"IDNK","yellow"
"KYNU","turquoise"
"NKX3-1","grey"
"E2F1","magenta"
"CPNE5","blue"
"AGPAT2","blue"
"ADAM9","turquoise"
"MT1X","blue"
"RFX2","green"
"GNMT","blue"
"TSC22D3","turquoise"
"PRG3","greenyellow"
"BTN3A3","black"
"ABI3","brown"
"LOC400499","green"
"PLB1","green"
"VPS51","blue"
"TSPAN2","turquoise"
"CENPM","blue"
"NDUFA13","brown"
"YOD1","yellow"
"VAMP5","brown"
"ZFP57","grey"
"SRGN","turquoise"
"RPUSD1","blue"
"H2BC4","turquoise"
"CD151","blue"
"TAGAP","turquoise"
"SH2D2A","brown"
"H3C10","grey"
"RNF24","turquoise"
"PLBD1","turquoise"
"BOD1L1","turquoise"
"SLC2A6","brown"
"EIF4EBP1","blue"
"FCRLA","grey"
"PRR5","brown"
"SMIM1","blue"
"CD59","yellow"
"CYYR1","yellow"
"IPMK","turquoise"
"STEAP4","turquoise"
"HBEGF","grey"
"FRMD3","purple"
"FNIP1","turquoise"
"KIR2DS4","red"
"KBTBD6","yellow"
"CCL3","brown"
"UPK3BL1","blue"
"BOLA2B","brown"
"NDUFV1","brown"
"TRIB1","turquoise"
"APBB1","brown"
"NFXL1","turquoise"
"REX1BD","blue"
"EOMES","red"
"TMEM45A","yellow"
"RNA45SN3","blue"
"CMTM2","blue"
"ARRDC3","turquoise"
"PMAIP1","pink"
"HGF","yellow"
"NPDC1","brown"
"FBL","brown"
"PTGES","blue"
"ARL4A","yellow"
"EFCAB2","turquoise"
"CYBB","pink"
"TPK1","yellow"
"UBXN11","brown"
"ELF1","turquoise"
"NCOA4","pink"
"DHRS13","green"
"CRISPLD2","turquoise"
"GUK1","blue"
"SHARPIN","blue"
"ABHD17A","blue"
"LRRN1","yellow"
"KATNBL1","turquoise"
"CAP1","turquoise"
"ETFB","blue"
"SLC12A6","turquoise"
"APOL1","black"
"STAB1","blue"
"CAMK1D","turquoise"
"SGK3","turquoise"
"TIMM13","blue"
"AVIL","turquoise"
"LYST","turquoise"
"TMEM204","brown"
"CORO7","blue"
"FCHO2","turquoise"
"HSPA1B","green"
"PADI2","turquoise"
"SERINC1","turquoise"
"GSTM4","brown"
"ICAM2","brown"
"ZNF107","turquoise"
"ALOX5AP","yellow"
"PLA2G7","brown"
"IL11RA","brown"
"CEP19","turquoise"
"NDUFC2-KCTD14","black"
"LY9","red"
"NRG1","brown"
"VPS9D1","green"
"ZDHHC20","turquoise"
"H3C4","blue"
"C16orf74","blue"
"JUNB","blue"
"ZNF281","turquoise"
"NTHL1","blue"
"BCAS4","brown"
"PPP1R3D","turquoise"
"LMAN1","tan"
"ESAM","purple"
"SULF2","salmon"
"RNPEPL1","blue"
"THAP7","blue"
"PYHIN1","red"
"SLC66A2","blue"
"FMC1-LUC7L2","blue"
"SNCA","cyan"
"BUB1","magenta"
"NLRP6","green"
"HESX1","black"
"EXOSC5","blue"
"PROS1","purple"
"PF4","purple"
"EVA1B","blue"
"TLR2","turquoise"
"RAB20","yellow"
"CDKN3","magenta"
"FBXW5","blue"
"CA2","grey"
"LY6G6F","purple"
"ISOC2","brown"
"B3GAT3","blue"
"TMUB1","blue"
"REM2","green"
"NHSL2","turquoise"
"RALGAPA2","yellow"
"HIP1","turquoise"
"RICTOR","turquoise"
"PLEKHB1","brown"
"HRAS","blue"
"BHLHA15","tan"
"CCR5","red"
"GPX1","blue"
"BATF3","blue"
"GK","turquoise"
"CXCL5","grey"
"LY86","salmon"
"PLEKHF1","brown"
"FSTL3","blue"
"TET2","turquoise"
"RPS5","brown"
"H2BC8","black"
"SUSD3","blue"
"OMG","turquoise"
"PECR","yellow"
"ATP6V0E2","brown"
"GTF2H2","turquoise"
"SCARF1","black"
"SH2D1A","red"
"IFI27L1","magenta"
"ORAI1","blue"
"RPP21","blue"
"ARID5A","green"
"TOP2A","magenta"
"NCOA2","turquoise"
"ROMO1","blue"
"TMEM40","purple"
"MBOAT2","yellow"
"GPR183","red"
"NBN","turquoise"
"F5","turquoise"
"CLEC18A","green"
"PPP1R3B","turquoise"
"FBXO6","black"
"TUBB6","blue"
"DUSP5","brown"
"JMJD1C","turquoise"
"HAL","turquoise"
"QTRT1","brown"
"LILRA6","turquoise"
"GPRC5D","tan"
"XRN1","turquoise"
"IFITM1","black"
"GYPA","cyan"
